Filename,True_X,True_Y,Computed_X,Computed_Y,Error_X,Error_Y
P0x50.csv,0,50,13.0254089150135,43.7621621353552,13.0254089150135,6.23783786464484
P20x35.csv,20,35,18.8566675756327,36.1853075102173,1.14333242436732,1.18530751021729
P20x50.csv,20,50,25.653627396904,47.1661870387485,5.65362739690403,2.83381296125145
P20x60.csv,20,60,27.9713615517674,50.0445178501976,7.97136155176736,9.95548214980237
P25x-5.csv,25,-5,21.7248352105727,-1.96119868246716,3.27516478942733,3.03880131753284
P25x0.csv,25,0,22.7494783336541,-1.80059470858845,2.25052166634586,1.80059470858845
P25x25.csv,25,25,24.71224721599,24.8548743934159,0.287752784010017,0.145125606584056
P25x50.csv,25,50,31.528019254587,42.9137475274267,6.52801925458703,7.08625247257334
P45x5.csv,45,5,45.964054654138,0.92731893840942,0.964054654138032,4.07268106159058
P55x-5.csv,55,-5,44.3404220984167,2.06724055071807,10.6595779015833,7.06724055071806
